DateTime,AddedIPs,RemovedIPs
1526401225,3,4
1526408427,5,5
1526415646,3,3
1526422828,4,5
1526429127,1,0
1526430028,5,6
1526437215,3,4
1526444419,5,8
1526451619,3,3
1526458822,5,1
1526466930,5,2
1526472327,14,0
1526473235,6,3
1526476828,0,9
1526480424,5,5
1526483122,1,0
1526488532,2,8
1526494826,7,3
1526502031,4,7
1526505629,0,1
1526509226,3,2
1526514627,1,0
1526516430,1,3
1526523621,3,8
1526530828,7,5
1526533531,1,0
1526538028,3,3
1526538931,0,1
1526545222,5,5
1526552430,4,4
1526556026,1,0
1526559761,1,53
1526561566,2,0
1526563226,4,0
1526566824,3,3
1526569520,0,3
1526574027,3,4
1526581226,4,4
1526588431,4,4
1526590225,1,0
1526591128,1,0
1526595623,3,3
1526601921,0,1
1526603727,1,4
1526607322,0,1
1526610027,2,5
1526617218,5,5
1526624419,5,2
1526631617,0,4
1526638818,6,5
1526645128,8,0
1526646936,2,3
1526649628,0,7
1526653230,6,4
1526660439,4,6
1526667631,4,5
1526674830,5,0
1526682037,1,5
1526682928,0,1
1526689234,7,4
1526696432,9,5
1526703639,7,5
1526710843,5,4
1526718023,6,6
1526725227,2,2
1526731574,0,6
1526732565,9,5
1526736045,10,0
1526738766,1,0
1526739623,6,6
1526742322,0,1
1526746831,3,13
1526754036,1,1
1526754932,1,0
1526761237,0,4
1526763023,1,0
1526767527,0,1
1526768431,1,3
1526772032,0,2
1526772932,0,1
1526774731,0,2
1526775638,11,2
1526776529,0,1
1526783731,1,5
1526790037,5,6
1526797233,4,3
1526804425,2,5
1526805325,0,1
1526812535,3,3
1526817937,7,0
1526818831,6,3
1526821534,0,1
1526822433,0,2
1526824222,1,0
1526826021,1,3
1526828731,0,1
1526833242,6,1
1526840431,5,7
1526847617,3,0
1526850327,1,0
1526854831,5,4
1526855722,0,1
1526862021,1,2
1526869222,3,7
1526876413,8,7
1526883631,3,3
1526890826,3,2
1526898038,9,4
1526904363,0,13
1526905372,1,3
1526909722,79,0
1526912432,4,4
1526919631,3,2
1526926835,2,3
1526927736,1,0
1526934919,5,4
1526937623,0,1
1526938538,0,1
1526941228,2,0
1526943028,0,1
1526948440,2,2
1526952936,1,0
1526956543,3,6
1526962828,6,7
1526970043,2,3
1526971841,0,1
1526975446,0,2
1526976341,0,1
1526977234,2,4
1526984441,3,1
1526990748,2,0
1526991645,1,2
1526995239,0,10
1526998835,3,8
1527006037,1,2
1527013422,6,4
1527015040,1,0
1527019528,0,1
1527020441,1,1
1527027643,3,1
1527029448,1,0
1527031244,0,1
1527032134,0,4
1527034838,3,3
1527036645,0,1
1527042042,1,7
1527045652,0,1
1527047439,0,1
1527049243,6,7
1527050138,0,1
1527056437,4,4
1527063642,2,1
1527070852,3,6
1527077250,0,28
1527078190,3,2
1527081644,11,0
1527083446,1,0
1527085247,0,2
1527092447,2,3
1527099642,2,1
1527106844,4,1
1527114040,3,2
1527119443,0,1
1527121245,0,2
1527126641,0,1
1527128445,2,7
1527129344,0,2
1527130246,1,0
1527135643,5,7
1527142861,6,1
1527150046,3,5
1527157248,5,2
1527164453,86,4
1527166255,0,2
1527168051,0,2
1527171654,5,1
1527174358,2,0
1527178860,5,8
1527186199,4,4
1527189662,0,1
1527193258,0,4
1527196844,1,1
1527199548,0,1
1527200447,3,2
1527207650,3,5
1527212150,0,1
1527214853,3,15
1527215753,0,1
1527222056,8,20
1527229255,4,1
1527230160,1,0
1527234660,1,0
1527236462,1,5
1527243656,4,0
1527247251,0,1
1527248163,1,0
1527250033,0,7
1527250990,4,2
1527254451,5,0
1527258051,3,3
1527260752,2,0
1527265252,7,2
1527267953,1,2
1527272459,7,3
1527279667,4,2
1527280550,1,0
1527284158,0,1
1527286857,8,1
1527289558,0,0
1527291365,0,0
1527294048,5,3
1527295864,0,0
1527298555,0,0
1527299457,0,0
1527301250,4,8
1527302157,0,0
1527303050,0,0
1527304852,0,0
1527305750,0,0
1527307555,0,0
1527308454,5,4
1527310263,1,0
1527311147,0,0
1527312956,0,0
1527314758,1,0
1527315665,2,3
1527316549,0,0
1527317448,0,0
1527318362,0,0
1527320150,0,0
1527321053,0,0
1527321951,0,0
1527322859,1,3
1527324657,0,0
1527325545,0,0
1527326451,0,0
1527327350,0,0
1527329146,0,0
1527330044,3,1
1527330948,0,0
1527331853,0,0
1527333650,0,0
1527334542,0,0
1527335452,0,0
1527337255,8,1
1527338165,0,0
1527339058,0,0
1527340849,0,14
1527341756,0,0
1527342651,0,0
1527343578,0,0
1527345361,1,4
1527346249,0,0
1527348962,0,0
1527350750,0,0
1527352560,4,3
1527354354,0,0
1527355259,0,0
1527357054,0,1
1527357955,0,0
1527359761,4,4
1527361558,0,0
1527362458,0,0
1527364262,0,0
1527365145,0,0
1527366960,3,1
1527367856,0,0
1527369661,0,0
1527371457,0,0
1527374164,1,5
1527375961,0,3
1527377764,0,0
1527378656,0,0
1527380455,3,4
1527381357,0,0
1527382264,0,0
1527384060,0,0
1527385859,0,0
1527386751,0,0
1527388562,1,11
1527389462,0,0
1527391262,0,0
1527392165,0,0
1527393053,0,1
1527393963,0,0
1527394854,5,7
1527395764,0,0
1527396664,0,0
1527397550,0,0
1527399365,0,0
1527402053,3,2
1527409260,0,5
1527416473,5,3
1527422876,0,10
1527423804,0,6
1527426485,2,0
1527427260,27,0
1527430858,1,6
1527437155,1,0
1527438052,4,4
1527440761,2,0
1527445256,4,2
1527450658,1,0
1527452467,0,6
1527457869,0,1
1527460564,0,1
1527464165,0,2
1527466861,1,5
1527470464,0,1
1527474067,2,6
1527474962,0,1
1527477662,1,0
1527478566,1,0
1527480368,1,0
1527481255,6,7
1527488458,2,2
1527495660,1,5
1527502862,5,3
1527507369,1,0
1527509170,5,0
1527510081,3,2
1527514571,0,73
1527517268,6,4
1527524468,5,4
1527531671,5,2
1527538863,2,0
1527544267,1,0
1527546065,3,1
1527551465,0,1
1527553261,1,2
1527555973,0,1
1527560472,3,6
1527567674,5,2
1527568566,1,0
1527574870,4,4
1527582067,2,1
1527589264,2,0
1527596612,5,6
1527600063,4,0
1527601859,3,0
1527603663,11,4
1527610866,2,4
1527615373,0,1
1527617166,1,0
1527618057,4,2
1527625266,1,1
1527632476,1,2
1527638763,0,1
1527639663,4,3
1527645062,0,1
1527646857,2,5
1527654066,6,6
1527654968,3,0
1527655863,3,0
1527656755,1,0
1527661267,3,3
1527668473,3,0
1527675658,3,5
1527682020,0,2
1527682873,18,2
1527686464,0,11
1527688267,0,1
1527690070,2,3
1527697284,1,5
1527704471,6,2
1527707162,0,1
1527711667,9,1
1527718867,6,1
1527720679,0,1
1527726073,0,6
1527733273,3,4
1527735064,0,3
1527740480,4,5
1527744981,1,0
1527747676,3,4
1527754874,2,5
1527756682,1,0
1527762063,2,2
