DateTime,Entries,UniqueIPs
1526461394,949,949
1526464993,950,950
1526468593,951,951
1526472193,950,950
1526475793,950,950
1526479333,951,951
1526480473,950,950
1526482994,949,949
1526486533,950,950
1526490193,950,950
1526493793,951,951
1526497334,953,953
1526500993,951,951
1526508193,953,953
1526511797,951,951
1526515393,951,951
1526518993,947,947
1526522594,947,947
1526526134,946,946
1526529733,947,947
1526533335,945,945
1526536998,945,945
1526544193,947,947
1526547796,947,947
1526551394,944,944
1526554995,945,945
1526558595,944,944
1526562135,945,945
1526565794,945,945
1526569396,941,941
1526572936,941,941
1526576596,936,936
1526580194,921,921
1526583794,925,925
1526587334,926,926
1526590938,926,926
1526594540,925,925
1526598194,924,924
1526601794,922,922
1526605394,921,921
1526608935,921,921
1526612539,921,921
1526616198,923,923
1526619794,922,922
1526623395,921,921
1526626934,921,921
1526630538,919,919
1526634136,918,918
1526637734,917,917
1526641395,916,916
1526648595,916,916
1526652198,917,917
1526655735,919,919
1526659395,914,914
1526662996,915,915
1526670195,912,912
1526673799,915,915
1526677335,917,917
1526680935,918,918
1526684600,921,921
1526688199,920,920
1526691803,924,924
1526695397,927,927
1526698998,927,927
1526702537,928,928
1526706195,927,927
1526709796,928,928
1526713395,928,928
1526716998,928,928
1526720601,926,926
1526724199,927,927
1526727800,930,930
1526731400,932,932
1526734996,934,934
1526738538,934,934
1526742136,934,934
1526745799,932,932
1526752936,931,931
1526756596,930,930
1526763803,928,928
1526767396,927,927
1526770996,927,927
1526774596,946,946
1526778196,947,947
1526781796,946,946
1526785396,947,947
1526788996,945,945
1526792596,943,943
1526796197,942,942
1526799800,942,942
1526806997,942,942
1526810536,943,943
1526814196,946,946
1526817737,946,946
1526821338,947,947
1526824998,946,946
1526828598,947,947
1526832196,949,949
1526835736,954,954
1526839337,955,955
1526842937,955,955
1526846538,953,953
1526850198,954,954
1526853798,956,956
1526857398,957,957
1526864597,956,956
1526868197,958,958
1526871797,956,956
1526875337,959,959
1526878998,956,956
1526882598,956,956
1526886198,953,953
1526889799,957,957
1526893400,957,957
1526893891,959,959
1526896950,969,969
1526900550,968,968
1526904155,966,966
1526907811,966,966
1526911415,967,967
1526914954,968,968
1526916510,968,968
1526922211,967,967
1526925750,966,966
1526929350,967,967
1526933010,969,969
1526936550,968,968
1526940211,969,969
1526943750,968,968
1526947410,968,968
1526950952,970,970
1526954552,970,970
1526958152,970,970
1526961752,968,968
1526965351,963,963
1526968952,962,962
1526972611,963,963
1526979811,962,962
1526983352,958,958
1526986952,956,956
1526990611,955,955
1526994152,957,957
1526997811,956,956
1527001352,955,955
1527004952,955,955
1527008552,956,956
1527012151,953,953
1527015752,950,950
1527019351,950,950
1527022952,950,950
1527026612,950,950
1527030153,951,951
1527037412,949,949
1527040952,947,947
1527044613,939,939
1527048213,936,936
1527051813,912,912
1527055353,911,911
1527058952,910,910
1527062554,908,908
1527066214,905,905
1527069813,909,909
1527073413,912,912
1527079952,912,912
1527091352,913,913
1527094953,912,912
1527098552,912,912
1527102213,911,911
1527105753,913,913
1527109412,912,912
1527112953,912,912
1527116552,911,911
1527117692,910,910
1527127355,909,909
1527130953,910,910
1527134554,909,909
1527138154,909,909
1527141754,910,910
1527145595,910,910
1527148954,910,910
1527153273,910,910
1527156217,911,911
1527159757,912,912
1527163358,910,910
1527167013,909,909
1527170553,910,910
1527174154,912,912
1527177753,914,914
1527181413,916,916
1527185014,915,915
1527188615,917,917
1527192214,915,915
1527195755,917,917
1527202954,916,916
1527206615,914,914
1527210154,915,915
