DateTime,AddedIPs,RemovedIPs
1525710781,0,1
1525714382,0,2
1525721581,0,2
1525728782,0,3
1525732829,0,7
1525735981,0,4
1525739582,1,0
1525743182,0,1
1525746781,4,0
1525750381,1,1
1525757581,2,4
1525761182,1,0
1525764782,0,1
1525771981,1,2
1525779182,2,2
1525782781,1,0
1525786381,0,1
1525789982,4,0
1525793581,2,1
1525800781,1,1
1525804381,2,1
1525811581,3,0
1525815181,1,0
1525822381,4,0
1525825982,2,0
1525833181,0,2
1525840381,0,2
1525843981,1,0
1525847581,0,2
1525854781,1,4
1525858381,2,0
1525865581,2,5
1525869181,1,2
1525876381,2,4
1525887181,1,3
1525890781,0,2
1525897981,0,1
1525901581,0,2
1525905630,2,0
1525912381,1,0
1525919581,3,0
1525923181,5,0
1525930381,3,1
1525933982,2,0
1525941181,2,2
1525944781,3,0
1525951981,1,2
1525955581,5,0
1525959181,0,4
1525962781,4,0
1525966381,1,0
1525973581,2,0
1525977182,0,1
1525980781,0,3
1525984381,1,1
1525987981,2,0
1525992030,0,2
1525995182,0,3
1525998781,1,0
1526005981,3,2
1526009581,3,4
1526016781,2,0
1526020381,0,2
1526023981,0,5
1526027581,2,0
1526031181,2,4
1526038381,1,6
1526041981,1,0
1526049182,6,5
1526059981,4,0
1526063581,2,0
1526070781,0,2
1526074381,3,0
1526081581,2,0
1526085182,2,1
1526088781,0,1
1526092381,4,0
1526095981,1,2
1526103181,0,2
1526106781,2,1
1526113981,4,3
1526117581,1,0
1526121181,0,2
1526128381,0,4
1526135581,1,3
1526139181,1,4
1526146381,4,6
1526157182,0,2
1526160781,0,2
1526164381,0,1
1526167981,2,0
1526171581,1,1
1526178782,2,4
1526182381,0,1
1526189581,1,1
1526193181,4,2
1526196782,0,3
1526200381,1,2
1526203981,1,0
1526211181,1,1
1526214781,3,1
1526221981,3,1
1526225581,2,2
1526229630,1,2
1526232781,0,1
1526236381,1,0
1526243581,0,1
1526247181,1,0
1526251831,0,2
1526254381,0,1
1526265181,0,1
1526268781,1,0
1526272381,0,1
1526275982,0,3
1526279582,3,0
1526286782,0,1
1526297581,0,5
1526301181,1,0
1526304781,0,2
1526308381,1,3
1526311981,6,1
1526316030,1,0
1526322782,1,0
1526326382,0,1
1526329981,4,0
1526333581,5,2
1526351582,2,1
1526355181,2,0
1526362381,1,0
1526365981,3,0
1526369581,0,2
1526376781,1,2
1526380381,0,1
